ORDEN, LLAVEHOG, ESTADOCIVIL
1,60055061,5
3,60055121,5
1,60055141,3
1,60055221,4
6,60055221,4
4,60055271,4
1,60055351,4
1,60055372,5
1,60055391,4
3,60055391,4
1,60055451,5
1,60055461,4
1,60055471,4
2,60055481,5
1,60055491,4
2,60055491,4
4,60055491,4
1,60055511,4
3,60055541,3
4,60055571,5
3,60055591,5
1,60055691,5
3,60055691,5
1,60055721,3
1,60055741,3
3,60055811,4
6,60055811,4
1,60055831,5
1,60055981,4
2,60055981,5
1,60056031,5
1,60056221,4
1,60056251,4
1,60056281,4
1,60056301,4
1,60056331,3
1,60056341,3
1,60056431,4
1,60056441,4
1,60056491,4
2,60056491,4
1,60056511,4
1,60056521,4
1,60056771,4
1,60056911,4
5,60056991,4
2,60057061,4
1,60057091,4
4,60057101,5
1,60057181,4
3,60057201,4
1,60057221,4
3,60057371,4
3,60057411,4
1,60057451,4
1,60057511,4
2,60057581,4
1,60057631,4
4,60057691,4
3,60057701,4
3,60057741,4
1,60057831,4
2,60057831,4
1,60057901,4
7,60057901,5
1,60058001,4
2,60058201,4
2,60058221,5
2,60058431,4
4,60058431,5
1,60058631,4
1,60058741,3
1,60058761,4
1,60058861,5
1,60058921,3
3,60059001,4
1,60059031,5
1,60059061,5
5,60059081,5
3,60059211,5
3,60059241,5
2,60059331,5
1,60059441,3
5,60059451,4
1,60059461,4
1,60059471,4
1,60059481,4
1,60059571,3
1,60059591,4
1,60059601,4
1,60059861,4
1,60060041,4
1,60060051,3
1,60060081,5
3,60060081,3
7,60060131,5
3,60060151,5
5,60060241,5
3,60060291,4
3,60060311,4
1,60060391,4
1,60060441,4
1,60060491,4
1,60060551,4
1,60060571,4
1,60060641,4
1,60060701,4
1,60060741,3
1,60060851,3
1,60060871,5
4,60060991,4
1,60061031,4
1,60061041,4
3,60061111,5
1,60061141,5
3,60061251,5
1,60061261,4
1,60061301,4
1,60061341,4
1,60061421,4
2,60061441,5
4,60061461,5
2,60061501,4
1,60061551,4
1,60061601,4
4,60061641,5
1,60061681,4
6,60061851,4
1,60062001,4
1,60062041,4
1,60062431,4
1,60062511,4
1,60062571,4
3,60062571,4
1,60062631,4
1,60063181,4
1,60063201,4
1,60063241,3
1,60063261,4
1,60063331,3
5,60063331,5
1,60063421,5
1,60063491,3
1,60063641,4
4,60063691,4
8,60063691,4
1,60063901,4
1,60063971,4
1,60064001,4
1,60064081,4
1,60064181,4
5,60064321,5
1,60064331,4
1,60064391,5
1,60064551,4
1,60064611,5
3,60064731,5
1,60064771,5
4,60064781,5
1,60064821,4
1,60064861,4
7,60064871,5
1,60064941,4
1,60065041,5
2,60065041,5
3,60065291,5
1,60065321,4
1,60065341,4
1,60065451,4
2,60065591,4
1,60065642,4
1,60065691,4
1,60065711,3
4,60066011,4
3,60066071,5
1,60066081,4
1,60066261,4
3,60066491,4
1,60066521,4
4,60066521,4
1,60066761,4
1,60066781,4
1,60066831,5
2,60066891,4
1,60066911,5
3,60066911,5
1,60066921,3
1,60066961,3
1,60066991,5
2,60067061,4
5,60067061,4
2,60067081,4
1,60067211,4
1,60067401,4
1,60067521,4
4,60067631,5
1,60067681,4
4,60067681,5
1,60067701,4
4,60067941,4
1,60067981,3
1,60068171,5
1,60068261,5
2,60068311,4
2,60068381,3
6,60068391,4
1,60068411,3
2,60068421,4
1,60068671,4
2,60068721,4
1,60068731,4
1,60068741,4
1,60068761,5
3,60068871,4
1,60068891,5
1,60068941,5
4,60068941,5
3,60069031,5
1,60069041,5
4,60069131,4
1,60069221,5
1,60069371,4
1,60069391,5
2,60069472,5
1,60069551,4
1,60069561,4
1,60069781,4
1,60069841,4
4,60069911,4
1,60069991,4
5,60070011,5
7,60070011,5
1,60070031,4
2,60070031,5
1,60070071,4
1,60070101,5
1,60070221,4
1,60070541,4
2,60070601,4
7,60070691,5
1,60070771,4
3,60070861,4
3,60070941,4
1,60071011,4
4,60071091,5
1,60071161,4
1,60071211,3
5,60071491,4
4,60071751,4
3,60071881,4
5,60071921,5
2,60071991,4
8,60072131,4
1,60072181,4
1,60072601,4
1,60072771,4
1,60072841,4
1,60072861,4
1,60072871,4
1,60073001,3
2,60073011,4
1,60073031,4
1,60073211,4
1,60073571,3
5,60073581,5
1,60073591,4
1,60073731,5
1,60073761,4
1,60073781,4
3,60074041,4
1,60074231,4
1,60074351,4
1,60074461,5
1,60074621,5
1,60074651,5
1,60074731,4
3,60074811,4
1,60075001,5
1,60075021,5
1,60075201,4
1,60075291,5
3,60075371,4
3,60075381,5
1,60075411,5
1,60075421,4
1,60075481,5
1,60075491,4
2,60075651,4
1,60075781,4
1,60075901,4
1,60075981,3
1,60076031,5
1,60076071,3
1,60076181,3
1,60076461,4
1,60076561,5
1,60076681,3
5,60076721,3
1,60076941,4
1,60076981,5
2,60077111,5
4,60077111,5
1,60077141,4
1,60077241,4
1,60077441,4
1,60077581,4
1,60078281,4
4,60078721,4
1,60078731,5
1,60078761,4
1,60078801,4
1,60078811,4
1,60078831,3
1,60078841,4
1,60079021,3
1,60079361,4
4,60079641,4
5,60079681,5
4,60079791,5
1,60079931,4
2,60079941,4
2,60079971,4
1,60079981,4
1,60080011,5
2,60080161,5
3,60080181,5
1,60080191,4
1,60080201,4
1,60080221,5
5,60080241,4
3,60080281,5
1,60080301,4
4,60080301,5
1,60080321,4
5,60080321,4
8,60080321,4
2,60080351,4
1,60080411,4
1,60080431,5
3,60080431,4
2,60080441,5
1,60080461,4
1,60080631,5
3,60080831,4
1,60080891,4
1,60081341,4
2,60081371,5
1,60081401,4
1,60081471,4
1,60081521,4
1,60081551,4
1,60081571,4
1,60081701,5
1,60081861,4
1,60081981,4
1,60082001,3
6,60082011,5
2,60082031,5
1,60082041,4
1,60082071,4
1,60082201,4
1,60082311,4
1,60082351,4
2,60082371,4
1,60082411,3
2,60082411,4
1,60082431,3
2,60082611,5
1,60082631,5
1,60082681,5
1,60082711,5
5,60082791,5
1,60082801,4
3,60082911,4
3,60082961,4
1,60082971,4
4,60082981,5
1,60082991,4
1,60083001,5
8,60083011,4
1,60083031,4
3,60083171,5
3,60083181,5
2,60083201,5
4,60083241,5
1,60083271,5
2,60083291,5
1,60083471,4
3,60083511,5
1,60083611,3
1,60083691,5
1,60083741,4
1,60083801,4
2,60083881,5
1,60083941,4
3,60084111,5
1,60084181,3
3,60084191,5
1,60084252,4
3,60084252,5
1,60084271,5
1,60084321,4
4,60084321,3
3,60084341,5
1,60084411,4
1,60084421,5
1,60084441,4
3,60084441,5
5,60084441,4
2,60084471,5
5,60084471,5
1,60084511,4
1,60084541,4
1,60084561,4
1,60084641,5
1,60084661,5
2,60084671,5
1,60084691,5
1,60084711,5
1,60084721,3
1,60084751,3
3,60084791,5
5,60084791,5
7,60084791,5
1,60084822,4
1,60084841,5
2,60084861,5
1,60084901,4
4,60084931,5
4,60085001,5
1,60085081,3
1,60085082,4
1,60085091,5
1,60085181,4
4,60085262,5
1,60085271,4
2,60085331,4
5,60085331,4
1,60085531,4
2,60085591,4
1,60085691,4
2,60085741,4
5,60085901,5
3,60086031,4
2,60086051,5
1,60086111,4
1,60086121,4
1,60086191,4
1,60086251,4
1,60086281,4
1,60086311,3
1,60086351,3
1,60086431,3
2,60086491,4
5,60086601,4
1,60086611,4
6,60086611,5
1,60086711,4
7,60086861,5
4,60087061,5
4,60087071,5
2,60087281,4
1,60087291,4
1,60087341,5
2,60087341,5
1,60087451,4
1,60087521,4
1,60087541,4
1,60087591,4
6,60087611,5
1,60087641,4
1,60087671,4
1,60087681,4
2,60087811,4
2,60087941,5
1,60087951,4
3,60088021,5
1,60088031,5
2,60088051,5
1,60088111,5
3,60088111,4
1,60088131,5
1,60088141,5
1,60088181,5
1,60088241,5
1,60088261,5
2,60088301,4
3,60088381,5
5,60088381,5
1,60088391,5
1,60088521,5
1,60088601,4
4,60088691,4
3,60088701,5
1,60088741,4
1,60088771,5
3,60088771,3
1,60088781,4
1,60088981,4
1,60089011,4
2,60089101,3
1,60089111,4
3,60089221,4
4,60089451,5
1,60089471,3
1,60089481,4
6,60089491,4
5,60089521,4
1,60089531,3
2,60089551,5
1,60089881,4
4,60089881,4
1,60089951,5
3,60089951,5
4,60090031,5
5,60090041,4
1,60090091,4
6,60090121,4
3,60090181,4
1,60090231,4
5,60090451,4
1,60090501,5
1,60090561,5
1,60090651,3
1,60090681,4
3,60090691,4
1,60090701,4
1,60091221,3
6,60091261,5
4,60091281,5
1,60091321,5
1,60091331,5
1,60091381,5
4,60091381,5
1,60091431,4
1,60091681,4
6,60091681,4
4,60091751,5
7,60091851,4
1,60091881,4
1,60091921,4
1,60091951,4
1,60092191,4
1,60092201,4
1,60092231,5
4,60092351,4
1,60092411,4
1,60092491,5
1,60092511,5
1,60092521,3
1,60092571,4
1,60093091,4
4,60093101,5
5,60093141,4
2,60093151,4
3,60093211,4
5,60093221,5
1,60093421,4
1,60093591,4
4,60093631,5
3,60093721,5
1,60093791,4
3,60093791,5
3,60093811,4
1,60093871,4
1,60093931,5
1,60094081,4
3,60094151,5
1,60094171,4
1,60094271,3
3,60094331,5
1,60094391,5
2,60094401,5
2,60094411,5
4,60094451,4
1,60094491,4
1,60094511,4
7,60094921,4
3,60095901,5
1,60095941,5
1,60096041,5
1,60096051,5
1,60096071,5
1,60096091,5
4,60096221,5
4,60096281,5
1,60096401,4
1,60096441,5
4,60096551,3
1,60096681,4
5,60096681,5
7,60096681,5
4,60096721,5
1,60096931,4
2,60096931,4
1,60097101,4
1,60097131,4
1,60097201,4
1,60097221,3
1,60097231,5
1,60097271,4
1,60097581,4
2,60097591,4
1,60097781,4
1,60097961,4
2,60097961,5
1,60098111,5
1,60098121,5
3,60098261,5
5,60098301,5
3,60098381,5
1,60098441,3
2,60098441,5
1,60098451,4
2,60098451,5
1,60098521,5
2,60098521,5
5,60098521,5
1,60098541,4
1,60098621,4
2,60098641,5
3,60098691,5
1,60098801,3
1,60098961,4
1,60099171,4
2,60099191,5
1,60099231,4
1,60099261,4
1,60099421,5
1,60099491,4
1,60099531,5
2,60099551,5
1,60099651,5
1,60099671,5
1,60099761,5
3,60100271,5
4,60100291,5
1,60100391,4
1,60100462,3
3,60100462,4
1,60100601,4
5,60100611,4
3,60100801,5
5,60100841,5
1,60100891,4
4,60100921,5
2,60100931,4
1,60101061,4
5,60101071,5
1,60101161,5
1,60101211,5
2,60101221,3
1,60101261,3
1,60101291,4
2,60101351,4
1,60101451,4
2,60101621,4
3,60101631,4
1,60101791,4
1,60101811,4
1,60101891,5
1,60102021,5
1,60102071,5
1,60102131,4
1,60102181,5
1,60102221,4
1,60102431,5
1,60102451,4
1,60102461,4
2,60102461,5
2,60102491,5
3,60102511,5
1,60102691,4
1,60102791,4
3,60102841,4
5,60102841,4
2,60102971,4
3,60103001,4
5,60103001,4
2,60103031,4
3,60103051,4
1,60103061,4
1,60103211,4
3,60103311,4
1,60103391,4
1,60103421,4
1,60103431,4
1,60103451,5
1,60103481,5
1,60103491,5
1,60103511,5
1,60103561,5
1,60103591,4
3,60103721,4
1,60103791,4
1,60104131,4
1,60104271,3
1,60104281,4
1,60104311,5
2,60104311,5
2,60104341,4
1,60104391,4
1,60104401,4
1,60104431,3
1,60104481,4
1,60104531,4
1,60104541,4
2,60104541,5
2,60104631,4
3,60104651,5
3,60104711,5
1,60104841,5
6,60104891,5
3,60105041,5
1,60105251,5
1,60105331,5
4,60105401,5
4,60105471,5
1,60105541,5
1,60105551,4
3,60105731,4
1,60105871,3
3,60105881,5
1,60106011,5
1,60106031,5
1,60106121,4
2,60106411,3
7,60106421,5
7,60106521,4
1,60106531,3
3,60106581,4
1,60106661,4
3,60106741,4
1,60106811,3
4,60106811,5
1,60107091,4
7,60107401,4
3,60107471,3
1,60107881,4
2,60108071,4
1,60108101,4
1,60108121,4
1,60108161,4
2,60108171,4
7,60108171,4
1,60108251,4
1,60108371,5
3,60108411,5
3,60108451,4
2,60108501,5
1,60108561,5
3,60108611,5
5,60108611,5
1,60108621,4
1,60108631,4
5,60108751,4
4,60108761,5
6,60108761,5
