"ORDEN","P6020","P6051","P5502","P6071","P6071S1","P6081","P6081S1","P6083","P6083S1","LLAVEHOG"
3,1,3,4,0,0,1,1,1,2,"60001431"
4,2,4,5,0,0,2,0,2,0,"60001431"
1,2,1,6,1,2,2,0,2,0,"60001441"
2,1,2,6,1,1,3,0,3,0,"60001441"
3,1,3,5,0,0,1,2,1,1,"60001441"
4,1,3,5,0,0,1,2,1,1,"60001441"
1,2,1,3,0,0,3,0,3,0,"60001451"
2,1,4,5,0,0,2,0,2,0,"60001451"
1,1,1,2,2,0,3,0,2,0,"60001461"
2,1,3,5,0,0,1,1,2,0,"60001461"
3,1,14,5,0,0,3,0,2,0,"60001461"
1,1,1,2,1,2,2,0,2,0,"60001471"
2,2,2,2,1,1,2,0,2,0,"60001471"
3,1,7,4,0,0,2,0,2,0,"60001471"
4,1,9,5,0,0,1,3,2,0,"60001471"
5,2,9,2,1,6,1,3,2,0,"60001471"
6,1,14,2,1,5,2,0,2,0,"60001471"
7,1,14,0,0,0,1,6,1,5,"60001471"
1,1,1,6,1,2,2,0,2,0,"60001481"
2,2,2,6,1,1,3,0,2,0,"60001481"
3,1,3,5,0,0,1,1,1,2,"60001481"
4,2,3,5,0,0,1,1,1,2,"60001481"
5,1,4,0,0,0,2,0,2,0,"60001481"
1,1,1,2,1,2,3,0,3,0,"60001501"
2,2,2,2,1,1,2,0,2,0,"60001501"
3,1,3,0,0,0,1,1,1,2,"60001501"
1,1,1,6,1,2,2,0,2,0,"60001521"
2,2,2,6,1,1,2,0,3,0,"60001521"
3,2,3,5,0,0,1,1,1,2,"60001521"
4,2,3,0,0,0,1,1,1,2,"60001521"
1,2,1,4,0,0,2,0,2,0,"60001531"
2,2,3,5,0,0,2,0,1,1,"60001531"
3,2,3,0,0,0,2,0,1,1,"60001531"
1,2,1,4,0,0,3,0,2,0,"60001541"
2,2,3,5,0,0,2,0,2,0,"60001541"
3,1,3,5,0,0,2,0,1,1,"60001541"
4,1,3,5,0,0,2,0,1,1,"60001541"
1,1,1,1,1,2,3,0,3,0,"60001551"
2,2,2,1,1,1,3,0,2,0,"60001551"
1,1,1,6,1,2,2,0,2,0,"60001561"
2,2,2,6,1,1,3,0,2,0,"60001561"
3,2,3,5,0,0,1,1,1,2,"60001561"
4,2,3,5,0,0,1,1,1,2,"60001561"
1,2,1,3,0,0,2,0,2,0,"60001571"
2,1,3,5,0,0,2,0,1,1,"60001571"
3,2,3,5,0,0,2,0,1,1,"60001571"
1,2,1,4,0,0,3,0,3,0,"60001581"
1,2,1,4,0,0,2,0,2,0,"60001591"
2,1,3,5,0,0,2,0,1,1,"60001591"
